STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00445213,"MANASSAS, VA US",4/16/1980,0,65,50
USC00444044,"HOLLAND 1 E, VA US",4/16/1980,0,61,41
USC00448829,"WALKERTON 2 NW, VA US",4/17/1980,0,62,32
USC00442208,"DALE ENTERPRISE, VA US",4/17/1980,0,60,24
USC00447338,"ROCKY MOUNT, VA US",4/17/1980,0,59,27
USC00445213,"MANASSAS, VA US",4/17/1980,0,72,28
USC00444044,"HOLLAND 1 E, VA US",4/17/1980,0,59,33
USC00448829,"WALKERTON 2 NW, VA US",4/18/1980,0,71,35
USC00442208,"DALE ENTERPRISE, VA US",4/18/1980,0,65,34
USC00447338,"ROCKY MOUNT, VA US",4/18/1980,0,65,28
USC00445213,"MANASSAS, VA US",4/18/1980,0,71,33
USC00444044,"HOLLAND 1 E, VA US",4/18/1980,0,60,36
USC00448829,"WALKERTON 2 NW, VA US",4/19/1980,0,78,35
USC00442208,"DALE ENTERPRISE, VA US",4/19/1980,0,72,34
USC00447338,"ROCKY MOUNT, VA US",4/19/1980,0,68,34
USC00445213,"MANASSAS, VA US",4/19/1980,0,72,45
USC00444044,"HOLLAND 1 E, VA US",4/19/1980,0,71,37
USC00448829,"WALKERTON 2 NW, VA US",4/20/1980,0,80,50
USC00442208,"DALE ENTERPRISE, VA US",4/20/1980,0,78,36
USC00447338,"ROCKY MOUNT, VA US",4/20/1980,0,74,40
USC00445213,"MANASSAS, VA US",4/20/1980,0,81,53
USC00444044,"HOLLAND 1 E, VA US",4/20/1980,0,75,41
USC00448829,"WALKERTON 2 NW, VA US",4/21/1980,0,79,45
USC00442208,"DALE ENTERPRISE, VA US",4/21/1980,0,70,50
USC00447338,"ROCKY MOUNT, VA US",4/21/1980,0,77,50
USC00445213,"MANASSAS, VA US",4/21/1980,0,79,50
USC00444044,"HOLLAND 1 E, VA US",4/21/1980,0,77,42
USC00448829,"WALKERTON 2 NW, VA US",4/22/1980,0,77,39
USC00442208,"DALE ENTERPRISE, VA US",4/22/1980,0,75,38
USC00447338,"ROCKY MOUNT, VA US",4/22/1980,0,77,40
USC00445213,"MANASSAS, VA US",4/22/1980,0,74,41
USC00444044,"HOLLAND 1 E, VA US",4/22/1980,0,75,43
USC00448829,"WALKERTON 2 NW, VA US",4/23/1980,0,79,45
USC00442208,"DALE ENTERPRISE, VA US",4/23/1980,0,84,48
USC00447338,"ROCKY MOUNT, VA US",4/23/1980,0,82,41
USC00445213,"MANASSAS, VA US",4/23/1980,0.02,78,46
USC00444044,"HOLLAND 1 E, VA US",4/23/1980,0,76,43
USC00448829,"WALKERTON 2 NW, VA US",4/24/1980,0,82,45
USC00442208,"DALE ENTERPRISE, VA US",4/24/1980,0.25,76,45
USC00447338,"ROCKY MOUNT, VA US",4/24/1980,0,90,52
USC00445213,"MANASSAS, VA US",4/24/1980,0,80,50
USC00444044,"HOLLAND 1 E, VA US",4/24/1980,0,82,51
USC00448829,"WALKERTON 2 NW, VA US",4/25/1980,0.58,74,53
USC00442208,"DALE ENTERPRISE, VA US",4/25/1980,0,65,45
USC00447338,"ROCKY MOUNT, VA US",4/25/1980,0.12,83,49
USC00445213,"MANASSAS, VA US",4/25/1980,0.13,73,53
USC00444044,"HOLLAND 1 E, VA US",4/25/1980,0,86,55
USC00448829,"WALKERTON 2 NW, VA US",4/26/1980,0.16,71,49
USC00442208,"DALE ENTERPRISE, VA US",4/26/1980,0.23,59,43
USC00447338,"ROCKY MOUNT, VA US",4/26/1980,0,78,48
USC00445213,"MANASSAS, VA US",4/26/1980,0.35,66,55
USC00444044,"HOLLAND 1 E, VA US",4/26/1980,0.05,82,59
USC00448829,"WALKERTON 2 NW, VA US",4/27/1980,0.11,71,51
USC00442208,"DALE ENTERPRISE, VA US",4/27/1980,0.52,50,44
USC00447338,"ROCKY MOUNT, VA US",4/27/1980,0.05,54,47
USC00445213,"MANASSAS, VA US",4/27/1980,0.58,64,50
USC00444044,"HOLLAND 1 E, VA US",4/27/1980,0,85,49
USC00448829,"WALKERTON 2 NW, VA US",4/28/1980,1.11,64,53
USC00442208,"DALE ENTERPRISE, VA US",4/28/1980,0,59,46
USC00447338,"ROCKY MOUNT, VA US",4/28/1980,0.5,60,47
USC00445213,"MANASSAS, VA US",4/28/1980,0.98,60,40
USC00444044,"HOLLAND 1 E, VA US",4/28/1980,0.98,82,57
USC00448829,"WALKERTON 2 NW, VA US",4/29/1980,0.01,70,48
USC00442208,"DALE ENTERPRISE, VA US",4/29/1980,0.3,63,39
USC00447338,"ROCKY MOUNT, VA US",4/29/1980,0,67,37
USC00445213,"MANASSAS, VA US",4/29/1980,0.15,67,50
USC00444044,"HOLLAND 1 E, VA US",4/29/1980,0.3,65,40
USC00448829,"WALKERTON 2 NW, VA US",4/30/1980,0.07,67,51
USC00442208,"DALE ENTERPRISE, VA US",4/30/1980,2,55,46
USC00447338,"ROCKY MOUNT, VA US",4/30/1980,0.3,63,37
USC00445213,"MANASSAS, VA US",4/30/1980,0.14,66,52
USC00444044,"HOLLAND 1 E, VA US",4/30/1980,0.18,73,50
USC00448829,"WALKERTON 2 NW, VA US",5/1/1980,0,70,50
USC00442208,"DALE ENTERPRISE, VA US",5/1/1980,0.01,66,45
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/1/1980,0.1,59,43
USC00447338,"ROCKY MOUNT, VA US",5/1/1980,0,64,39
USC00445213,"MANASSAS, VA US",5/1/1980,0.22,71,51
USC00444044,"HOLLAND 1 E, VA US",5/1/1980,0,64,48
USC00448829,"WALKERTON 2 NW, VA US",5/2/1980,0.03,75,54
USC00442208,"DALE ENTERPRISE, VA US",5/2/1980,0,69,41
